"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDIL","EQ","07-Feb-2014","         42.00","         42.40","         43.20","         41.85","         42.70","         42.55","         42.56","    8391415","       3571.33","      21505","     687111","          8.19"
"HDIL","EQ","10-Feb-2014","         42.55","         42.60","         43.70","         42.60","         42.90","         42.95","         43.13","    6215613","       2680.96","      18822","     626543","         10.08"
"HDIL","EQ","11-Feb-2014","         42.95","         43.15","         43.35","         42.25","         42.40","         42.55","         42.71","    5573470","       2380.35","      15400","     516916","          9.27"
"HDIL","EQ","12-Feb-2014","         42.55","         42.95","         43.30","         40.90","         41.45","         41.50","         41.83","    9021624","       3773.45","      27003","    1074203","         11.91"
"HDIL","EQ","13-Feb-2014","         41.50","         41.15","         42.40","         40.65","         41.50","         41.45","         41.54","    9292715","       3860.58","      25977","     793975","          8.54"
"HDIL","EQ","14-Feb-2014","         41.45","         41.90","         42.00","         39.20","         40.55","         40.45","         40.42","   12788830","       5169.18","      34820","    1104361","          8.64"
"HDIL","EQ","17-Feb-2014","         40.45","         41.00","         41.40","         39.40","         40.70","         40.40","         40.40","    8573221","       3463.64","      26072","     824355","          9.62"
"HDIL","EQ","18-Feb-2014","         40.40","         40.55","         41.90","         40.25","         41.55","         41.60","         41.33","    7596508","       3139.32","      23319","    1046753","         13.78"
"HDIL","EQ","19-Feb-2014","         41.60","         41.40","         41.80","         40.25","         40.90","         41.10","         40.94","    7551923","       3092.12","      20869","     591849","          7.84"
"HDIL","EQ","20-Feb-2014","         41.10","         40.70","         42.20","         40.40","         41.35","         41.35","         41.50","    9076778","       3766.80","      25550","     690911","          7.61"
"HDIL","EQ","21-Feb-2014","         41.35","         41.55","         41.90","         40.65","         41.45","         41.35","         41.20","    6468757","       2664.95","      22763","     469341","          7.26"
"HDIL","EQ","24-Feb-2014","         41.35","         41.35","         42.45","         41.20","         42.40","         42.25","         42.07","    6001340","       2525.03","      21125","     922740","         15.38"
"HDIL","EQ","25-Feb-2014","         42.25","         42.25","         42.65","         40.75","         41.30","         41.30","         41.61","    7818922","       3253.43","      21708","     925129","         11.83"
"HDIL","EQ","26-Feb-2014","         41.30","         41.35","         41.65","         40.15","         41.10","         41.05","         40.83","    6676691","       2726.02","      17855","    1104458","         16.54"
"HDIL","EQ","28-Feb-2014","         41.05","         41.45","         42.10","         40.70","         42.00","         41.80","         41.58","    6625118","       2754.66","      20285","     956838","         14.44"
"HDIL","EQ","03-Mar-2014","         41.80","         41.40","         42.45","         41.10","         41.50","         41.40","         41.64","    6740542","       2806.75","      19489","     707659","         10.50"
"HDIL","EQ","04-Mar-2014","         41.40","         41.00","         41.80","         40.45","         41.40","         41.45","         41.27","    8437960","       3482.39","      20368","    2312237","         27.40"
"HDIL","EQ","05-Mar-2014","         41.45","         42.00","         42.45","         40.55","         42.20","         42.30","         41.70","   10401530","       4337.07","      25149","     906780","          8.72"
"HDIL","EQ","06-Mar-2014","         42.30","         42.50","         45.60","         42.25","         45.50","         45.30","         44.15","   16439103","       7257.65","      43521","    2315448","         14.09"
"HDIL","EQ","07-Mar-2014","         45.30","         45.60","         51.25","         45.30","         47.75","         48.05","         48.20","   25281472","      12185.12","      62029","    2726367","         10.78"
"HDIL","EQ","10-Mar-2014","         48.05","         47.85","         50.50","         47.25","         49.75","         49.60","         49.30","   13583315","       6696.95","      38437","    1218650","          8.97"
"HDIL","EQ","11-Mar-2014","         49.60","         49.75","         52.00","         48.40","         50.35","         50.10","         50.39","   20509715","      10334.30","      53263","    1471035","          7.17"
"HDIL","EQ","12-Mar-2014","         50.10","         50.15","         50.95","         49.20","         49.55","         49.75","         50.00","   12145154","       6072.61","      32869","     897743","          7.39"
"HDIL","EQ","13-Mar-2014","         49.75","         49.75","         50.50","         46.85","         47.25","         47.35","         49.13","   10272976","       5047.22","      25637","    1356679","         13.21"
