"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","23-Jan-2015","        324.65","        328.25","        332.55","        324.65","        327.05","        327.45","        328.67","   17127278","      56292.91","     151074","    9235565","         53.92"
"SBIN","EQ","27-Jan-2015","        327.45","        329.40","        332.15","        322.60","        331.45","        330.05","        326.41","   13734088","      44829.00","     158444","    7368707","         53.65"
"SBIN","EQ","28-Jan-2015","        330.05","        330.40","        336.00","        328.20","        333.40","        334.60","        333.04","   19428852","      64705.29","     169823","    9448935","         48.63"
"SBIN","EQ","29-Jan-2015","        334.60","        332.80","        333.60","        325.10","        326.45","        327.00","        328.72","   14911660","      49018.25","     139604","    7543218","         50.59"
"SBIN","EQ","30-Jan-2015","        327.00","        328.70","        330.50","        307.00","        309.30","        308.95","        313.26","   30252827","      94771.50","     283121","   17419439","         57.58"
"SBIN","EQ","02-Feb-2015","        308.95","        309.50","        311.90","        305.10","        308.50","        307.50","        308.38","   17639807","      54397.87","     146146","    8870079","         50.28"
"SBIN","EQ","03-Feb-2015","        307.50","        312.00","        312.00","        299.05","        299.65","        300.30","        303.85","   23743882","      72145.58","     227509","   10222678","         43.05"
"SBIN","EQ","04-Feb-2015","        300.30","        302.70","        302.95","        291.90","        292.55","        293.05","        295.75","   21477507","      63519.80","     233412","   10553495","         49.14"
"SBIN","EQ","05-Feb-2015","        293.05","        293.15","        297.80","        289.20","        290.50","        290.80","        294.15","   15722348","      46247.55","     156258","    5387936","         34.27"
"SBIN","EQ","06-Feb-2015","        290.80","        291.00","        294.85","        285.70","        291.20","        290.30","        290.70","   15985714","      46471.20","     162287","    4974505","         31.12"
"SBIN","EQ","09-Feb-2015","        290.30","        289.50","        292.80","        278.00","        279.50","        279.50","        284.58","   17088719","      48630.94","     199946","    6843030","         40.04"
"SBIN","EQ","10-Feb-2015","        279.50","        277.50","        290.80","        275.70","        289.75","        287.30","        285.88","   22589681","      64578.63","     200547","    7194444","         31.85"
"SBIN","EQ","11-Feb-2015","        287.30","        290.80","        293.50","        283.70","        286.20","        285.95","        288.06","   17366588","      50026.77","     157109","    7591432","         43.71"
